**harm,**harte,**timestamp,**phrase,**leadinstrument,**kern,**silbe,**kern_2,**silbe_2,**rhyme,**valence,**arousal,**rms,**kern_3,**silbe_3,**kern_4,**silbe_4,**kern_5,**silbe_5
1i7,G:min7,92.886,newline,voice,8G,Get,8d,Get,,,,,,,,,,
1i7,G:min7,95.164,.,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,97.443,.,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,99.721,.,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,102,newline,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,104.258,.,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,106.517,.,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,108.776,.,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,111.035,newline,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,113.301,.,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,115.568,.,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,117.834,.,voice,8G,Get,8f,Get,,,,,,,,,,
*>Letter>B2,*>Letter>B2,*>Letter>B2,*>Letter>B2,*>Letter>B2,*>Letter>B2,*>Letter>B2,*>Letter>B2,*>Letter>B2,,,,,,,,,,
*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,,,,,,,,,,
*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,,,,,,,,,,
*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,,,,,,,,,,
1r;,N,183.809,.,r,r;,.,1r,.,,,,,,,,,,
1r;,N,186.201,.,r,r;,.,1r,.,,,,,,,,,,
1r;,N,0,.,r,r;,.,,,.,89 55 60 90,78 58 60 15,7.767,,,,,,
*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,,,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,,,,,,
*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,,,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,,,,,,
1I,G:maj,1.581,.,guitar,2r,.,,,.,62 63 60 63,62 58 60 60,60.704,,,,,,
