**harm,**harte,**harm_2,**harte_2,**kern,**silbe,**stress,**timestamp,**duration
V/vi,E:maj,II7/vi,E:7,b-,,,267.408,1
VI,A:maj,V/vi,A:maj,a-,,,271.196,1
i,C:min,v,C:min,ee-,,,275.032,1
Vb,G:maj/3,Vb/v,G:maj/3,dd,,,.,1
V/ii,A:maj,V/vi,A:maj,cc#,,,.,1
ii,D:min,vi,D:min,ff,,,282.688,1
V/ii,A:maj,V/vi,A:maj,gg,,,.,1
vib,A:min/b3,vi7d,D:min7/b7,ee-,,,.,1
IVb,F:maj/3,Ib,F:maj/3,ff,,,.,1
IV,F:maj,I,F:maj,ff,,,.,1
