**harm,**harte,**timestamp,**phrase,**leadinstrument,**kern,**silbe,**kern_2,**silbe_2,**duration,**rhyme,**valence,**arousal,**rms,**kern_3,**silbe_3,**kern_4,**silbe_4,**kern_5,**silbe_5,**harm_2,**harte_2,**stress
1I,N,89.802,.,voice,d,_,,,8.0,.,86 102 85 63,81 96 60 34,61.303,,,,,,,,,
1I,G:maj,91.168,newline,voice,b,can't,,,4.0,.,86 102 85 63,51 93 60 0,75.377,,,,,,,,,
1I,G:maj,92.494,.,voice,d,wat-,,,8.0,.,86 102 85 63,43 83 60 0,69.659,,,,,,,,,
1V7,D:7,93.819,.,voice,d,can't,,,4.0,.,86 102 85 63,76 81 60 3,73.611,,,,,,,,,
1V7,D:7,95.144,.,voice,a,wat-,,,8.0,.,86 102 85 63,78 95 60 36,75.482,,,,,,,,,
1I,G:maj,96.47,newline,voice,b,can't,,,4.0,.,86 102 85 63,75 99 60 36,72.799,,,,,,,,,
1I,G:maj,97.835,.,voice,d,wat-,,,8.0,.,86 102 85 63,79 97 60 37,73.136,,,,,,,,,
1V7,D:7,99.2,.,voice,d,you,,,8.0,.,86 102 85 63,78 97 60 37,73.366,,,,,,,,,
1I,N,100.565,.,voice,f#,_,,,8.0,.,86 102 85 63,78 97 60 37,73.107,,,,,,,,,
1I,G:maj,101.93,newline,voice,b,can't,,,4.0,.,86 101 85 63,60 95 60 37,68.083,,,,,,,,,
1I,G:maj,103.277,.,voice,g,buff-,,,8.0,.,86 104 85 63,43 86 60 0,70.063,,,,,,,,,
1V7,D:7,104.625,.,voice,g,can't,,,4.0,.,86 104 85 63,75 86 60 32,71.702,,,,,,,,,
1V7,D:7,105.972,.,voice,cc,buff-,,,8.0,.,86 104 85 63,78 92 60 32,73.185,,,,,,,,,
1I,G:maj,107.151,newline,voice,b,can't,,,4.0,.,86 103 76 63,76 96 60 32,68.738,,,,,,,,,
1I,G:maj,.,.,voice,g,buff-,,,8.0,.,86 103 76 63,76 96 60 32,67.607,,,,,,,,,
1V7,D:7,.,.,voice,d,you,,,8.0,.,86 103 76 63,76 96 60 32,67.49,,,,,,,,,
1I,G:maj,.,.,voice,d,_,,,8.0,.,86 103 76 63,76 96 60 32,67.698,,,,,,,,,
