**harm,**harte,**timestamp,**phrase,**leadinstrument,**kern,**silbe,**kern_2,**silbe_2,**duration,**rhyme,**valence,**arousal,**rms,**kern_3,**silbe_3,**kern_4,**silbe_4,**kern_5,**silbe_5,**harm_2,**harte_2,**stress
*>Intro,*>Intro,*>Intro,,,*>Intro,,,,1.0,,,,,,,,,,,*>Intro,*>Intro,
*>Verse,*>Verse,*>Verse,,,*>Verse,,,,1.0,,,,,,,,,,,*>Verse,*>Verse,
I,E:maj,15.027,,,B,,,,1.0,,,,,,,,,,,I,E:maj,
I,E:maj,24.897,,,B,,,,1.0,,,,,,,,,,,I,E:maj,
*>Tag,*>Tag,*>Tag,,,*>Tag,,,,1.0,,,,,,,,,,,*>Tag,*>Tag,
*>Link,*>Link,*>Link,,,*>Link,,,,1.0,,,,,,,,,,,*>Link,*>Link,
*>Verse,*>Verse,*>Verse,,,*>Verse,,,,1.0,,,,,,,,,,,*>Verse,*>Verse,
IV,A:maj,.,,,c#,,,,1.0,,,,,,,,,,,.,.,
I,E:maj,47.223,,,B,,,,1.0,,,,,,,,,,,I,E:maj,
IV,A:maj,.,,,B,,,,1.0,,,,,,,,,,,.,.,
I,E:maj,57.303,,,B,,,,1.0,,,,,,,,,,,I,E:maj,
*>Tag,*>Tag,*>Tag,,,*>Tag,,,,1.0,,,,,,,,,,,*>Tag,*>Tag,
*>Link,*>Link,*>Link,,,*>Link,,,,1.0,,,,,,,,,,,*>Link,*>Link,
*>Solo,*>Solo,*>Solo,,,*>Solo,,,,1.0,,,,,,,,,,,*>Solo,*>Solo,
*>Link,*>Link,*>Link,,,*>Link,,,,1.0,,,,,,,,,,,*>Link,*>Link,
*>Verse,*>Verse,*>Verse,,,*>Verse,,,,1.0,,,,,,,,,,,*>Verse,*>Verse,
IV,A:maj,.,,,c#,,,,1.0,,,,,,,,,,,.,.,
I,E:maj,107.199,,,B,,,,1.0,,,,,,,,,,,I,E:maj,
IV,A:maj,.,,,B,,,,1.0,,,,,,,,,,,.,.,
I,E:maj,117.400,,,B,,,,1.0,,,,,,,,,,,I,E:maj,
*>Tag,*>Tag,*>Tag,,,*>Tag,,,,1.0,,,,,,,,,,,*>Tag,*>Tag,
*>Link,*>Link,*>Link,,,*>Link,,,,1.0,,,,,,,,,,,*>Link,*>Link,
*>A,*>A,*>A,,,*>A,,,,1.0,,,,,,,,,,,*>A,*>A,
*>A,*>A,*>A,,,*>A,*>A,,,1.0,,,,,,,,,,,*>A,*>A,*>A
IV,C:maj,24.074,,,g,_,,,1.0,,,,,,,,,,,IV,C:maj,.
I,G:maj,26.961,,,g,ball,,,1.0,,,,,,,,,,,I,G:maj,1
V,D:maj,29.852,,,a,rol-,,,1.0,,,,,,,,,,,V,D:maj,1
I,G:maj,32.734,,,g,_,,,1.0,,,,,,,,,,,I,G:maj,.
*>B,*>B,*>B,,,*>B,*>B,,,1.0,,,,,,,,,,,*>B,*>B,*>B
IV,C:maj,42.191,,,g,mol-,,,1.0,,,,,,,,,,,IV,C:maj,1
I,G:maj,45.133,,,g,ball,,,1.0,,,,,,,,,,,I,G:maj,1
V,D:maj,48.040,,,a,rol-,,,1.0,,,,,,,,,,,V,D:maj,1
I,G:maj,50.953,,,g,_,,,1.0,,,,,,,,,,,I,G:maj,.
IV,C:maj,60.498,,,g,mol-,,,1.0,,,,,,,,,,,IV,C:maj,1
I,G:maj,63.435,,,g,ball,,,1.0,,,,,,,,,,,I,G:maj,1
V,D:maj,66.345,,,a,rol-,,,1.0,,,,,,,,,,,V,D:maj,1
I,G:maj,69.300,,,e,_,,,1.0,,,,,,,,,,,I,G:maj,.
*>A,*>A,*>A,,,*>A,*>A,,,1.0,,,,,,,,,,,*>A,*>A,*>A
IV,C:maj,95.527,,,g,_,,,1.0,,,,,,,,,,,IV,C:maj,.
I,G:maj,98.440,,,g,ball,,,1.0,,,,,,,,,,,I,G:maj,1
V,D:maj,101.360,,,a,rol-,,,1.0,,,,,,,,,,,V,D:maj,1
*>B,*>B,*>B,,,*>B,*>B,,,1.0,,,,,,,,,,,*>B,*>B,*>B
IV,C:maj,113.743,,,g,mol-,,,1.0,,,,,,,,,,,IV,C:maj,1
I,G:maj,116.673,,,g,ball,,,1.0,,,,,,,,,,,I,G:maj,1
V,D:maj,119.593,,,a,rol-,,,1.0,,,,,,,,,,,V,D:maj,1
*>Refrain,*>Refrain,*>Refrain,,,*>Refrain,,,,1.0,,,,,,,,,,,*>Refrain,*>Refrain,
vi,C#:min,.,,,C#,,,,1.0,,,,,,,,,,,vi,C#:min,
IV,A:maj,5.160,,,c#,,,,1.0,,,,,,,,,,,IV,A:maj,
V,B:maj,.,,,B,,,,1.0,,,,,,,,,,,V,B:maj,
I,E:maj,7.463,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,C#,,,,1.0,,,,,,,,,,,vi,C#:min,
IV,A:maj,9.723,,,c#,,,,1.0,,,,,,,,,,,IV,A:maj,
V,B:maj,.,,,B,,,,1.0,,,,,,,,,,,V,B:maj,
*>Verse,*>Verse,*>Verse,,,*>Verse,,,,1.0,,,,,,,,,,,*>Verse,*>Verse,
I,E:maj,12.050,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,G#,,,,1.0,,,,,,,,,,,vi,C#:min,
V,B:maj,.,,,B,,,,1.0,,,,,,,,,,,V,B:maj,
I,E:maj,16.628,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,G#,,,,1.0,,,,,,,,,,,vi,C#:min,
V,B:maj,.,,,A,,,,1.0,,,,,,,,,,,V,B:maj,
I,E:maj,21.225,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,c#,,,,1.0,,,,,,,,,,,vi,C#:min,
IV,A:maj,23.517,,,E,,,,1.0,,,,,,,,,,,IV,A:maj,
V,B:maj,.,,,F#,,,,1.0,,,,,,,,,,,V,B:maj,
I,E:maj,25.836,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,C#,,,,1.0,,,,,,,,,,,vi,C#:min,
IV,A:maj,28.127,,,c#,,,,1.0,,,,,,,,,,,IV,A:maj,
V,B:maj,.,,,B,,,,1.0,,,,,,,,,,,V,B:maj,
I,E:maj,30.425,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,G#,,,,1.0,,,,,,,,,,,vi,C#:min,
V,B:maj,.,,,B,,,,1.0,,,,,,,,,,,V,B:maj,
I,E:maj,35.060,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,G#,,,,1.0,,,,,,,,,,,vi,C#:min,
V,B:maj,.,,,B,,,,1.0,,,,,,,,,,,V,B:maj,
I,E:maj,39.665,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,c#,,,,1.0,,,,,,,,,,,vi,C#:min,
IV,A:maj,41.975,,,E,,,,1.0,,,,,,,,,,,IV,A:maj,
V,B:maj,.,,,F#,,,,1.0,,,,,,,,,,,V,B:maj,
I,E:maj,44.306,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
*>Bridge,*>Bridge,*>Bridge,,,*>Bridge,,,,1.0,,,,,,,,,,,*>Bridge,*>Bridge,
IV,A:maj,48.900,,,c#,,,,1.0,,,,,,,,,,,IV,A:maj,
iii,G#:min,51.281,,,B,,,,1.0,,,,,,,,,,,iii,G#:min,
ii,F#:min,53.553,,,A,,,,1.0,,,,,,,,,,,ii,F#:min,
I,E:maj,55.877,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
IV,A:maj,58.123,,,c#,,,,1.0,,,,,,,,,,,IV,A:maj,
V7/V,F#:7,62.708,,,c#,,,,1.0,,,,,,,,,,,V/V,F#:maj,
V,B:maj,65.037,,,B,,,,1.0,,,,,,,,,,,V,B:maj,
*>Verse,*>Verse,*>Verse,,,*>Verse,,,,1.0,,,,,,,,,,,*>Verse,*>Verse,
I,E:maj,67.360,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,G#,,,,1.0,,,,,,,,,,,vi,C#:min,
V,B:maj,.,,,B,,,,1.0,,,,,,,,,,,V,B:maj,
I,E:maj,72.022,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,G#,,,,1.0,,,,,,,,,,,vi,C#:min,
V,B:maj,.,,,B,,,,1.0,,,,,,,,,,,V,B:maj,
I,E:maj,76.644,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,c#,,,,1.0,,,,,,,,,,,vi,C#:min,
IV,A:maj,78.951,,,E,,,,1.0,,,,,,,,,,,IV,A:maj,
V,B:maj,.,,,F#,,,,1.0,,,,,,,,,,,V,B:maj,
I,E:maj,81.294,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,C#,,,,1.0,,,,,,,,,,,vi,C#:min,
IV,A:maj,83.624,,,c#,,,,1.0,,,,,,,,,,,IV,A:maj,
V,B:maj,.,,,B,,,,1.0,,,,,,,,,,,V,B:maj,
I,E:maj,85.949,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
IV,A:maj,.,,,C#,,,,1.0,,,,,,,,,,,IV,A:maj,
I,E:maj,88.245,,,E,,,,1.0,,,,,,,,,,,I,E:maj,
*>Bridge,*>Bridge,*>Bridge,,,*>Bridge,,,,1.0,,,,,,,,,,,*>Bridge,*>Bridge,
IV,A:maj,90.557,,,c#,,,,1.0,,,,,,,,,,,IV,A:maj,
iii,G#:min,92.860,,,B,,,,1.0,,,,,,,,,,,iii,G#:min,
ii,F#:min,95.198,,,A,,,,1.0,,,,,,,,,,,ii,F#:min,
I,E:maj,97.516,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
IV,A:maj,99.787,,,c#,,,,1.0,,,,,,,,,,,IV,A:maj,
V7/V,F#:7,104.412,,,c#,,,,1.0,,,,,,,,,,,V/V,F#:maj,
V,B:maj,106.692,,,B,,,,1.0,,,,,,,,,,,V,B:maj,
*>Verse,*>Verse,*>Verse,,,*>Verse,,,,1.0,,,,,,,,,,,*>Verse,*>Verse,
I,E:maj,109.005,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,G#,,,,1.0,,,,,,,,,,,vi,C#:min,
V,B:maj,.,,,B,,,,1.0,,,,,,,,,,,V,B:maj,
I,E:maj,113.664,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,G#,,,,1.0,,,,,,,,,,,vi,C#:min,
V,B:maj,.,,,B,,,,1.0,,,,,,,,,,,V,B:maj,
I,E:maj,118.284,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,c#,,,,1.0,,,,,,,,,,,vi,C#:min,
IV,A:maj,120.572,,,E,,,,1.0,,,,,,,,,,,IV,A:maj,
V,B:maj,.,,,F#,,,,1.0,,,,,,,,,,,V,B:maj,
I,E:maj,122.913,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,C#,,,,1.0,,,,,,,,,,,vi,C#:min,
IV,A:maj,125.227,,,c#,,,,1.0,,,,,,,,,,,IV,A:maj,
V,B:maj,.,,,B,,,,1.0,,,,,,,,,,,V,B:maj,
*>Refrain,*>Refrain,*>Refrain,,,*>Refrain,,,,1.0,,,,,,,,,,,*>Refrain,*>Refrain,
I,E:maj,127.558,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,C#,,,,1.0,,,,,,,,,,,vi,C#:min,
IV,A:maj,129.868,,,c#,,,,1.0,,,,,,,,,,,IV,A:maj,
V,B:maj,.,,,B,,,,1.0,,,,,,,,,,,V,B:maj,
I,E:maj,132.181,,,G#,,,,1.0,,,,,,,,,,,I,E:maj,
vi,C#:min,.,,,C#,,,,1.0,,,,,,,,,,,vi,C#:min,
IV,A:maj,134.499,,,c#,,,,1.0,,,,,,,,,,,IV,A:maj,
V,B:maj,.,,,B,,,,1.0,,,,,,,,,,,V,B:maj,
*>Intro,*>Intro,*>Intro,,,*>Intro,,,,1.0,,,,,,,,,,,*>Intro,*>Intro,
*>Verse,*>Verse,*>Verse,,,*>Verse,,,,1.0,,,,,,,,,,,*>Verse,*>Verse,
IV,D:maj,24.209,,,A,,,,1.0,,,,,,,,,,,IV,D:maj,
V,E:maj,26.201,,,A,,,,1.0,,,,,,,,,,,V,E:maj,
I,A:maj,28.208,,,A,,,,1.0,,,,,,,,,,,I,A:maj,
vi,F#:min,36.158,,,c#,,,,1.0,,,,,,,,,,,vi,F#:min,
IV,D:maj,40.166,,,A,,,,1.0,,,,,,,,,,,IV,D:maj,
V,E:maj,42.137,,,A,,,,1.0,,,,,,,,,,,V,E:maj,
*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,,,,1.0,,,,,,,,,,,*>Chorus,*>Chorus,
vi,F#:min,52.150,,,B,,,,1.0,,,,,,,,,,,vi,F#:min,
IV,D:maj,56.211,,,B,,,,1.0,,,,,,,,,,,IV,D:maj,
*>Verse,*>Verse,*>Verse,,,*>Verse,,,,1.0,,,,,,,,,,,*>Verse,*>Verse,
V,E:maj,74.238,,,c#,,,,1.0,,,,,,,,,,,V,E:maj,
I,A:maj,76.278,,,A,,,,1.0,,,,,,,,,,,I,A:maj,
vi,F#:min,84.318,,,B,,,,1.0,,,,,,,,,,,vi,F#:min,
IV,D:maj,88.312,,,A,,,,1.0,,,,,,,,,,,IV,D:maj,
V,E:maj,90.332,,,A,,,,1.0,,,,,,,,,,,V,E:maj,
*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,,,,1.0,,,,,,,,,,,*>Chorus,*>Chorus,
vi,F#:min,100.406,,,A,,,,1.0,,,,,,,,,,,vi,F#:min,
IV,D:maj,104.416,,,A,,,,1.0,,,,,,,,,,,IV,D:maj,
*>Solo,*>Solo,*>Solo,,,*>Solo,,,,1.0,,,,,,,,,,,*>Solo,*>Solo,
*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,,,,1.0,,,,,,,,,,,*>Chorus,*>Chorus,
vi,F#:min,148.542,,,B,,,,1.0,,,,,,,,,,,vi,F#:min,
IV,D:maj,152.558,,,A,,,,1.0,,,,,,,,,,,IV,D:maj,
V,E:maj,154.544,,,B,,,,1.0,,,,,,,,,,,V,E:maj,
I,A:maj,156.538,,,B,,,,1.0,,,,,,,,,,,I,A:maj,
*>Intro,*>Intro,*>Intro,,,*>Intro,,,,1.0,,,,,,,,,,,*>Intro,*>Intro,
*>Verse,*>Verse,*>Verse,,,*>Verse,,,,1.0,,,,,,,,,,,*>Verse,*>Verse,
*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,,,,1.0,,,,,,,,,,,*>Chorus,*>Chorus,
V,A:maj,28.797,,,e,,,,1.0,,,,,,,,,,,V,A:maj,
*>Verse,*>Verse,*>Verse,,,*>Verse,,,,1.0,,,,,,,,,,,*>Verse,*>Verse,
*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,,,,1.0,,,,,,,,,,,*>Chorus,*>Chorus,
V,A:maj,60.643,,,e,,,,1.0,,,,,,,,,,,V,A:maj,
*>Intro,*>Intro,*>Intro,,,*>Intro,,,,1.0,,,,,,,,,,,*>Intro,*>Intro,
*>Verse,*>Verse,*>Verse,,,*>Verse,,,,1.0,,,,,,,,,,,*>Verse,*>Verse,
*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,,,,1.0,,,,,,,,,,,*>Chorus,*>Chorus,
*>Intro,*>Intro,*>Intro,,,*>Intro,,,,1.0,,,,,,,,,,,*>Intro,*>Intro,
*>Verse,*>Verse,*>Verse,,,*>Verse,,,,1.0,,,,,,,,,,,*>Verse,*>Verse,
*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,,,,1.0,,,,,,,,,,,*>Chorus,*>Chorus,
V,A:maj,147.755,,,e,,,,1.0,,,,,,,,,,,V,A:maj,
*>Fadeout,*>Fadeout,*>Fadeout,,,*>Fadeout,,,,1.0,,,,,,,,,,,*>Fadeout,*>Fadeout,
*>Verse,*>Verse,*>Verse,,,*>Verse,*>Verse,,,1.0,,,,,,,,,,,*>Verse,*>Verse,*>Verse
i7d,A:min7/b7,57.040,,,B,that,,,1.0,,,,,,,,,,,i7d,A:min7/b7,0
IVb,D:maj/3,.,,,B,gold,,,1.0,,,,,,,,,,,IVb,D:maj/3,1
-VI7,F:maj7,60.301,,,d,buy-,,,1.0,,,,,,,,,,,-VI7,F:maj7,1
-VIIb,G:maj/3,63.629,,,G,hea-,,,1.0,,,,,,,,,,,-VII,G:maj,1
i,A:min,.,,,A,_,,,1.0,,,,,,,,,,,i,A:min,.
Vb,E:maj/3,.,,,B,_,,,1.0,,,,,,,,,,,Vb,E:maj/3,.
i7d,A:min7/b7,70.180,,,c,stores,,,1.0,,,,,,,,,,,i7d,A:min7/b7,1
IVb,D:maj/3,.,,,B,closed,,,1.0,,,,,,,,,,,IVb,D:maj/3,1
-VI7,F:maj7,73.482,,,e,_,,,1.0,,,,,,,,,,,-VI7,F:maj7,.
-VIIb,G:maj/3,76.839,,,G,came,,,1.0,,,,,,,,,,,-VII,G:maj,1
i,A:min,.,,,A,for,,,1.0,,,,,,,,,,,i,A:min,0
IV,D:maj,.,,,d,ooh,,,1.0,,,,,,,,,,,IV,D:maj,3
-VI7,F:maj7,83.541,,,d,ooh,,,1.0,,,,,,,,,,,-VI7,F:maj7,3
i,A:min,.,,,c,ooh,,,1.0,,,,,,,,,,,i,A:min,3
-III,C:maj,86.866,,,c,buy-,,,1.0,,,,,,,,,,,-III,C:maj,1
-VII,G:maj,.,,,d,stai-,,,1.0,,,,,,,,,,,-VII,G:maj,1
IV,D:maj,90.206,,,G,hea-,,,1.0,,,,,,,,,,,IV,D:maj,1
-III,C:maj,93.680,,,c,sign,,,1.0,,,,,,,,,,,-III,C:maj,1
IV,D:maj,.,,,B,_,,,1.0,,,,,,,,,,,IV,D:maj,.
-VI7,F:maj7,96.941,,,c,wants,,,1.0,,,,,,,,,,,-VI7,F:maj7,1
i,A:min,.,,,A,_,,,1.0,,,,,,,,,,,i,A:min,.
-III,C:maj,100.222,,,e,know,,,1.0,,,,,,,,,,,-III,C:maj,1
IV,D:maj,.,,,B,words,,,1.0,,,,,,,,,,,IV,D:maj,1
-VI,F:maj,103.677,,,G,mean-,,,1.0,,,,,,,,,,,-VI7,F:maj7,1
*>P1,*>P1,*>P1,,,*>P1,*>P1,,,1.0,,,,,,,,,,,*>P1,*>P1,*>P1
i,A:min,107.310,,,c,tree,,,1.0,,,,,,,,,,,i,A:min,1
Vb,E:maj/3,.,,,A,_,,,1.0,,,,,,,,,,,Vb,E:maj/3,.
i7d,A:min7/b7,110.514,,,c,song-,,,1.0,,,,,,,,,,,i7d,A:min7/b7,1
IVb,D:maj/3,.,,,B,sings,,,1.0,,,,,,,,,,,IVb,D:maj/3,1
-VI7,F:maj7,113.805,,,d,all,,,1.0,,,,,,,,,,,-VI7,F:maj7,0
-VIIb,G:maj/3,117.101,,,G,-giv-,,,1.0,,,,,,,,,,,-VII,G:maj,1
i,A:min,.,,,A,-en,,,1.0,,,,,,,,,,,i,A:min,0
*>P2,*>P2,*>P2,,,*>P2,*>P2,,,1.0,,,,,,,,,,,*>P2,*>P2,*>P2
i,A:min,146.815,,,c,ooh,,,1.0,,,,,,,,,,,i7,A:min7,3
-III,C:maj,158.957,,,c,feel-,,,1.0,,,,,,,,,,,-III,C:maj,1
-VIIb,G:maj/3,.,,,A,_,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,.
i,A:min,161.896,,,c,look,,,1.0,,,,,,,,,,,i,A:min,1
-III,C:maj,165.000,,,e,spi-,,,1.0,,,,,,,,,,,-III,C:maj,1
-VIIb,G:maj/3,.,,,B,cry-,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,1
-III,C:maj,171.143,,,c,thoughts,,,1.0,,,,,,,,,,,-III,C:maj,1
-VIIb,G:maj/3,.,,,B,seen,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,1
i,A:min,174.221,,,c,smoke,,,1.0,,,,,,,,,,,i,A:min,1
-III,C:maj,177.254,,,d,voi-,,,1.0,,,,,,,,,,,-III,C:maj,1
-VIIb,G:maj/3,.,,,B,those,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,0
i,A:min,198.180,,,c,ooh,,,1.0,,,,,,,,,,,i7,A:min7,3
-III,C:maj,209.729,,,c,whisp-,,,1.0,,,,,,,,,,,-III,C:maj,1
-VIIb,G:maj/3,.,,,B,soon,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,1
i,A:min,212.630,,,B,all,,,1.0,,,,,,,,,,,i,A:min,0
-III,C:maj,215.555,,,d,pip-,,,1.0,,,,,,,,,,,-III,C:maj,1
-VIIb,G:maj/3,.,,,B,lead,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,1
-III,C:maj,221.469,,,c,new,,,1.0,,,,,,,,,,,-III,C:maj,1
-VIIb,G:maj/3,.,,,B,dawn,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,1
i,A:min,224.391,,,c,those,,,1.0,,,,,,,,,,,i,A:min,0
-III,C:maj,227.300,,,d,fore-,,,1.0,,,,,,,,,,,-III,C:maj,1
-VIIb,G:maj/3,.,,,e,ec-,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,1
IV,D:maj,250.581,,,c,oh,,,1.0,,,,,,,,,,,IV,D:maj,3
-VIIb,G:maj/3,.,,,d,bus-,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,1
i,A:min,261.938,,,A,_,,,1.0,,,,,,,,,,,i,A:min,.
-VIIb,G:maj/3,.,,,d,spring,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,1
-VIIb,G:maj/3,.,,,d,two,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,1
i,A:min,273.268,,,A,go,,,1.0,,,,,,,,,,,i,A:min,1
-VIIb,G:maj/3,.,,,d,time,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,1
IV,D:maj,298.267,,,d,oh,,,1.0,,,,,,,,,,,IV,D:maj,3
-VIIb,G:maj/3,.,,,d,humm-,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,1
i,A:min,309.291,,,A,wont,,,1.0,,,,,,,,,,,i,A:min,1
-VIIb,G:maj/3,.,,,d,call-,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,1
-VIIb,G:maj/3,.,,,d,can,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,0
-VIIb,G:maj/3,.,,,d,lies,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,1
i,A:min,.,,,G,wind,,,1.0,,,,,,,,,,,i,A:min,1
-VIIb,G:maj/3,.,,,B,oh,,,1.0,,,,,,,,,,,-VIIb,G:maj/3,3
*>Bridge,*>Bridge,*>Bridge,,,*>Bridge,*>Bridge,,,1.0,,,,,,,,,,,*>Bridge,*>Bridge,*>Bridge
IV,D:maj,331.666,,,B,oh,,,1.0,,,,,,,,,,,IV,D:maj,3
*>Solo,*>Solo,*>Solo,,,*>Solo,*>Solo,,,1.0,,,,,,,,,,,*>Solo,*>Solo,*>Solo
*>P3,*>P3,*>P3,,,*>P3,*>P3,,,1.0,,,,,,,,,,,*>P3,*>P3,*>P3
-VII,G:maj,.,,,cc,tal-,,,1.0,,,,,,,,,,,-VII,G:maj,1
-VII,G:maj,.,,,ee,light,,,1.0,,,,,,,,,,,-VII,G:maj,1
-VI,F:maj,419.834,,,b,show,,,1.0,,,,,,,,,,,-VI,F:maj,1
-VI,F:maj,424.467,,,b,gold,,,1.0,,,,,,,,,,,-VI,F:maj,1
-VII,G:maj,.,,,cc,lis-,,,1.0,,,,,,,,,,,-VII,G:maj,1
-VI,F:maj,433.773,,,b,last,,,1.0,,,,,,,,,,,-VI,F:maj,1
-VI,F:maj,443.117,,,b,roll,,,1.0,,,,,,,,,,,-VI,F:maj,1
i,A:min,474.465,,,cc,hea-,,,1.0,,,,,,,,,,,i,A:min,1
*>Link,*>Link,*>Link,,,*>Link,*>Link,,,1.0,,,,,,,,,,,*>Link,*>Link,*>Link
*>Intro,*>Intro,*>Intro,,,*>Intro,*>Intro,,,1.0,,,,,,,,,,,*>Intro,*>Intro,*>Intro
*>Verse,*>Verse,*>Verse,,,*>Verse,*>Verse,,,1.0,,,,,,,,,,,*>Verse,*>Verse,*>Verse
i,B-:min,25.129,,,F,sell,,,1.0,,,,,,,,,,,I,B-:maj,1
i,B-:min,31.302,,,F,weat-,,,1.0,,,,,,,,,,,I,B-:maj,1
i,B-:min,37.501,,,F,spring,,,1.0,,,,,,,,,,,I,B-:maj,1
i,B-:min,43.594,,,F,rep-,,,1.0,,,,,,,,,,,I,B-:maj,2
-II,C-:maj,.,,,f,hes,,,1.0,,,,,,,,,,,-II,C-:maj,0
*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,*>Chorus,,,1.0,,,,,,,,,,,*>Chorus,*>Chorus,*>Chorus
I,B-:maj,52.749,,,f,all,,,1.0,,,,,,,,,,,I,B-:maj,0
I,B-:maj,55.844,,,f,likes,,,1.0,,,,,,,,,,,I,B-:maj,1
I,B-:maj,58.942,,,f,likes,,,1.0,,,,,,,,,,,I,B-:maj,1
II,C:maj,62.001,,,c,dont,,,1.0,,,,,,,,,,,II7,C:7,1
II,C:maj,65.010,,,c,knows,,,1.0,,,,,,,,,,,II7,C:7,1
I,B-:maj,68.017,,,f,hes,,,1.0,,,,,,,,,,,I,B-:maj,0
I,B-:maj,71.121,,,f,all,,,1.0,,,,,,,,,,,I,B-:maj,0
I,B-:maj,74.226,,,f,likes,,,1.0,,,,,,,,,,,I,B-:maj,1
I,B-:maj,77.304,,,f,likes,,,1.0,,,,,,,,,,,I,B-:maj,1
II,C:maj,80.367,,,c,dont,,,1.0,,,,,,,,,,,II7,C:7,1
II,C:maj,83.398,,,c,knows,,,1.0,,,,,,,,,,,II7,C:7,1
*>Link,*>Link,*>Link,,,*>Link,*>Link,,,1.0,,,,,,,,,,,*>Link,*>Link,*>Link
I,B-:maj,86.448,,,B-,yeah,,,1.0,,,,,,,,,,,I,B-:maj,3
*>Verse,*>Verse,*>Verse,,,*>Verse,*>Verse,,,1.0,,,,,,,,,,,*>Verse,*>Verse,*>Verse
i,B-:min,98.901,,,F,we,,,1.0,,,,,,,,,,,I,B-:maj,0
i,B-:min,105.149,,,F,nat-,,,1.0,,,,,,,,,,,I,B-:maj,1
i,B-:min,111.345,,,F,booze,,,1.0,,,,,,,,,,,I,B-:maj,1
i,B-:min,117.432,,,F,ten-,,,1.0,,,,,,,,,,,I,B-:maj,1
-II,C-:maj,.,,,f,hes,,,1.0,,,,,,,,,,,-II,C-:maj,0
*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,*>Chorus,,,1.0,,,,,,,,,,,*>Chorus,*>Chorus,*>Chorus
I,B-:maj,126.623,,,f,all,,,1.0,,,,,,,,,,,I,B-:maj,0
I,B-:maj,129.703,,,f,likes,,,1.0,,,,,,,,,,,I,B-:maj,1
I,B-:maj,132.768,,,f,likes,,,1.0,,,,,,,,,,,I,B-:maj,1
II,C:maj,135.802,,,c,dont,,,1.0,,,,,,,,,,,II7,C:7,1
II,C:maj,138.807,,,c,knows,,,1.0,,,,,,,,,,,II7,C:7,1
I,B-:maj,141.800,,,f,hes,,,1.0,,,,,,,,,,,I,B-:maj,0
I,B-:maj,144.872,,,f,all,,,1.0,,,,,,,,,,,I,B-:maj,0
I,B-:maj,147.917,,,f,likes,,,1.0,,,,,,,,,,,I,B-:maj,1
I,B-:maj,150.978,,,f,likes,,,1.0,,,,,,,,,,,I,B-:maj,1
II,C:maj,154.031,,,c,dont,,,1.0,,,,,,,,,,,II7,C:7,1
